MatBrO,ImeOpsCir,ImeOpsLat,LEN_Moto,LEN_Trunk,LEN_Prim,LEN_Sec,LEN_Tert,Area,LEN_All,DENS_Moto,DENS_Trunk,DENS_Prim,DENS_Sec,DENS_Tert,DENS_All
"70963",ПРЕШЕВО,PREŠEVO,26.8732,0.0000,19.7919,6.9196,57.6496,264.7235,111.2343,0.10,0.00,0.07,0.03,0.22,0.42
"80403",СРЕМСКА МИТРОВИЦА,SREMSKA MITROVICA,69.4517,0.0000,45.5996,59.2985,84.0550,761.0793,258.4048,0.09,0.00,0.06,0.08,0.11,0.34
"71218",УБ,UB,34.8697,0.0000,3.5233,70.3601,59.5507,456.9143,168.3038,0.08,0.00,0.01,0.15,0.13,0.37
"70173",МЛАДЕНОВАЦ,MLADENOVAC,3.0879,6.2035,18.5750,43.9343,23.1217,338.7031,94.9224,0.01,0.02,0.05,0.13,0.07,0.28
"80144",ЖИТИШТЕ,ŽITIŠTE,0.0000,0.0000,21.9035,43.4913,22.9426,524.9578,88.3374,0.00,0.00,0.04,0.08,0.04,0.17
"70939",ПИРОТ,PIROT,75.7797,0.0000,11.8950,117.1876,16.7311,1232.1974,221.5934,0.06,0.00,0.01,0.10,0.01,0.18
"71196",ЋИЋЕВАЦ,ĆIĆEVAC,14.1538,0.0000,13.4993,10.5008,1.0897,123.8154,39.2436,0.11,0.00,0.11,0.08,0.01,0.32
"70424",ВЛАСОТИНЦЕ,VLASOTINCE,1.2426,0.0000,25.8717,9.5141,4.0602,307.8814,40.6886,0.00,0.00,0.08,0.03,0.01,0.13
"80381",СОМБОР,SOMBOR,0.0000,0.0000,111.7086,27.8630,39.1244,1216.7637,178.6960,0.00,0.00,0.09,0.02,0.03,0.15
"70181",НОВИ БЕОГРАД,NOVI BEOGRAD,16.4483,0.0000,17.1712,60.8958,56.3545,40.7728,150.8698,0.40,0.00,0.42,1.49,1.38,3.70
"70947",ПОЖАРЕВАЦ,POŽAREVAC,0.0000,16.7070,21.1393,30.0578,57.5171,378.8173,125.4212,0.00,0.04,0.06,0.08,0.15,0.33
"70432",ВРАЊЕ,VRANJE,38.4196,0.0000,0.0000,92.4582,46.5418,599.7847,177.4196,0.06,0.00,0.00,0.15,0.08,0.30
"70688",КУРШУМЛИЈА,KURŠUMLIJA,0.0000,0.0000,36.1933,101.3103,4.9356,951.6220,142.4392,0.00,0.00,0.04,0.11,0.01,0.15
"71200",ЋУПРИЈА,ĆUPRIJA,22.5467,0.0000,0.0000,51.5848,18.6594,288.3004,92.7909,0.08,0.00,0.00,0.18,0.06,0.32
"80390",СРБОБРАН,SRBOBRAN,1.3019,0.0000,12.9853,31.0475,0.0000,284.1705,45.3347,0.00,0.00,0.05,0.11,0.00,0.16
