MatBrO,MatBrNas,ImeNasCir,ImeNasLat,ImeOpsCir,ImeOpsLat,Decl/Grow,Traff_Name,DENS_Moto,DENS_Trunk,DENS_Prim,DENS_Sec,DENS_Tert,DENS_All,LEN_Moto,LEN_Trunk,LEN_Prim,LEN_Sec,LEN_Tert,LEN_All,Area,Traff_Key
"70432","711624",КОПАЊАНЕ,KOPANJANE,ВРАЊЕ,VRANJE,Population decline,Low road density with population decline,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.5690,"3"
"71161","742376",ДОЊИ СТАЈЕВАЦ,DONJI STAJEVAC,ТРГОВИШТЕ,TRGOVIŠTE,Population decline,High road density with population decline,0.00,0.00,0.00,0.33,0.00,0.33,0.0000,0.0000,0.0000,9.0084,0.0000,9.0084,27.0180,"1"
"70432","711268",БУЉЕСОВЦЕ,BULJESOVCE,ВРАЊЕ,VRANJE,Population decline,Low road density with population decline,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8917,"3"
"71161","742333",ГОРЊИ СТАЈЕВАЦ,GORNJI STAJEVAC,ТРГОВИШТЕ,TRGOVIŠTE,Population decline,Low road density with population decline,0.00,0.00,0.00,0.12,0.00,0.12,0.0000,0.0000,0.0000,2.0758,0.0000,2.0758,17.3826,"3"
"70432","711764",МАРГАНЦЕ,MARGANCE,ВРАЊЕ,VRANJE,Population decline,Low road density with population decline,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1937,"3"
"70335","706876",НАЗАРИЦА,NAZARICA,БОСИЛЕГРАД,BOSILEGRAD,Population decline,Low road density with population decline,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.7557,"3"
"70351","707899",КЛИНОВАЦ,KLINOVAC,БУЈАНОВАЦ,BUJANOVAC,No data,No data,0.00,0.00,0.00,0.24,0.00,0.24,0.0000,0.0000,0.0000,2.7480,0.0000,2.7480,11.3217,"6"
"70432","711730",ЛЕПЧИНЦЕ,LEPČINCE,ВРАЊЕ,VRANJE,Population decline,Low road density with population decline,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9704,"3"
"71161","742295",ГОЛОЧЕВАЦ,GOLOČEVAC,ТРГОВИШТЕ,TRGOVIŠTE,Population decline,Low road density with population decline,0.00,0.00,0.00,0.14,0.00,0.14,0.0000,0.0000,0.0000,1.2927,0.0000,1.2927,9.0205,"3"
"70335","706612",БРАНКОВЦИ,BRANKOVCI,БОСИЛЕГРАД,BOSILEGRAD,Population decline,Low road density with population decline,0.00,0.00,0.00,0.00,0.29,0.29,0.0000,0.0000,0.0000,0.0000,4.2205,4.2205,14.3453,"3"
"70432","712264",ЋУРКОВИЦА,ĆURKOVICA,ВРАЊЕ,VRANJE,Population decline,Low road density with population decline,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.8001,"3"
"70351","707821",ЖУЖЕЉИЦА,ŽUŽELJICA,БУЈАНОВАЦ,BUJANOVAC,No data,No data,0.93,0.00,0.00,0.00,0.00,0.93,2.2575,0.0000,0.0000,0.0000,0.0000,2.2575,2.4331,"6"
"70351","707937",КРШЕВИЦА,KRŠEVICA,БУЈАНОВАЦ,BUJANOVAC,No data,No data,0.00,0.00,0.00,0.43,0.00,0.43,0.0000,0.0000,0.0000,3.1150,0.0000,3.1150,7.2750,"6"
"70432","712191",СУРДУЛ,SURDUL,ВРАЊЕ,VRANJE,Population decline,Low road density with population decline,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2844,"3"
"71161","742554",ЦРВЕНИ ГРАД,CRVENI GRAD,ТРГОВИШТЕ,TRGOVIŠTE,Population decline,Low road density with population decline,0.00,0.00,0.00,0.11,0.00,0.11,0.0000,0.0000,0.0000,1.8083,0.0000,1.8083,16.3372,"3"
"70351","708054",ОСЛАРЕ,OSLARE,БУЈАНОВАЦ,BUJANOVAC,No data,No data,0.00,0.00,0.00,0.00,0.31,0.31,0.0000,0.0000,0.0000,0.0000,3.5820,3.5820,11.5107,"6"
"70335","706949",РИБАРЦИ,RIBARCI,БОСИЛЕГРАД,BOSILEGRAD,Population decline,High road density with population decline,0.00,0.00,0.00,0.62,0.18,0.79,0.0000,0.0000,0.0000,3.8567,1.1137,4.9704,6.2659,"1"
"70351","707694",БУЈАНОВАЦ,BUJANOVAC,БУЈАНОВАЦ,BUJANOVAC,No data,No data,0.06,0.00,0.35,0.26,0.12,0.78,0.5121,0.0000,3.1620,2.3403,1.0888,7.1032,9.1604,"6"
"71161","742511",РАДОВНИЦА,RADOVNICA,ТРГОВИШТЕ,TRGOVIŠTE,Population decline,Low road density with population decline,0.00,0.00,0.00,0.19,0.00,0.19,0.0000,0.0000,0.0000,5.9326,0.0000,5.9326,31.4397,"3"
"70351","707775",ДОБРОСИН,DOBROSIN,БУЈАНОВАЦ,BUJANOVAC,No data,No data,0.00,0.00,0.00,0.00,0.33,0.33,0.0000,0.0000,0.0000,0.0000,2.8189,2.8189,8.5738,"6"
"70432","711667",КОЋУРА,KOĆURA,ВРАЊЕ,VRANJE,Population decline,Low road density with population decline,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.9045,"3"
