MatBrO,MatBrNas,ImeNasCir,ImeNasLat,ImeOpsCir,ImeOpsLat,Mean_ELEV,P_0–14,P_15–39,P_40–64,P_65+,TDR
"71064","738972",ОКОЛИШТЕ,OKOLIŠTE,СВРЉИГ,SVRLJIG,566.80,2.17,9.78,31.52,56.52,142.11
"70866","729914",РАДОИЊА,RADOINJA,НОВА ВАРОШ,NOVA VAROŠ,988.31,6.82,22.73,41.43,29.02,55.86
"80063","800392",ПАРАГЕ,PARAGE,БАЧКА ПАЛАНКА,BAČKA PALANKA,84.03,15.64,31.27,36.70,16.40,47.12
"70025","701262",РУТЕВАЦ,RUTEVAC,АЛЕКСИНАЦ,ALEKSINAC,165.67,9.79,27.67,37.57,24.97,53.28
"70025","701238",ПРУГОВАЦ,PRUGOVAC,АЛЕКСИНАЦ,ALEKSINAC,497.72,8.44,23.21,33.33,35.02,76.87
"70564","746720",БУКОВИЦА,BUKOVICA,ИВАЊИЦА,IVANJICA,568.71,16.00,32.59,38.23,13.18,41.20
"70564","716430",СВЕШТИЦА,SVEŠTICA,ИВАЊИЦА,IVANJICA,736.66,15.68,35.83,39.31,9.19,33.09
"70971","734004",БАЊА,BANJA,ПРИБОЈ,PRIBOJ,747.17,14.27,30.97,40.56,14.21,39.81
"70882","731188",КОЊУША,KONJUŠA,ОСЕЧИНА,OSEČINA,309.55,6.74,16.85,32.58,43.82,102.27
"70726","724475",КОВАЧЕВА БАРА,KOVAČEVA BARA,ЛЕСКОВАЦ,LESKOVAC,570.62,9.16,31.30,39.69,19.85,40.86
"70050","702331",РАКИТА,RAKITA,БАБУШНИЦА,BABUŠNICA,1106.34,9.16,17.93,45.82,27.09,56.88
"70343","707171",ГРАШЕВЦИ,GRAŠEVCI,БРУС,BRUS,724.66,14.36,29.20,36.50,19.95,52.22
"70980","735094",РАТАЈСКА,RATAJSKA,ПРИЈЕПОЉЕ,PRIJEPOLJE,581.59,16.83,36.52,36.47,10.19,37.02
"71072","739529",ДРУЖИНИЋЕ,DRUŽINIĆE,СЈЕНИЦА,SJENICA,1102.86,0.00,10.00,40.00,50.00,100.00
"80063","800414",СИЛБАШ,SILBAŠ,БАЧКА ПАЛАНКА,BAČKA PALANKA,82.98,15.44,31.54,36.08,16.94,47.90
"80152","801496",БАНАТСКИ ДЕСПОТОВАЦ,BANATSKI DESPOTOVAC,ЗРЕЊАНИН,ZRENJANIN,76.99,8.37,25.33,39.89,26.41,53.33
"80438","804487",БАЧКО ДУШАНОВО,BAČKO DUŠANOVO,СУБОТИЦА,SUBOTICA,105.40,12.12,32.06,39.23,16.59,40.27
"70785","726885",МОСНА,MOSNA,МАЈДАНПЕК,MAJDANPEK,298.56,13.33,30.28,40.00,16.39,42.29
"70874","730998",ТРНАВА,TRNAVA,НОВИ ПАЗАР,NOVI PAZAR,773.78,31.50,38.05,24.31,6.13,60.34
"71137","741116",ВЛАСИНА СТОЈКОВИЋЕВА,VLASINA STOJKOVIĆEVA,СУРДУЛИЦА,SURDULICA,1254.68,11.59,28.05,33.54,26.83,62.38
"70505","714402",ДРАГОВИТА,DRAGOVITA,ДИМИТРОВГРАД,DIMITROVGRAD,909.08,26.53,10.20,24.49,38.78,188.24
